0,"[0, 2, 1, 4, 0, 2, 1, 2, 1, 0, 0, 3, 0, 0, 1, 2, 0, 0]","[1, 2, 3, 2, 1]","{'acc_top1': 0.352, 'acc_top5': 0.722}"
1,"[3, 1, 4, 2, 2, 0, 0, 1, 0, 0, 2, 3, 0, 1, 2, 1, 0, 1]","[2, 2, 2, 2, 1]","{'acc_top1': 0.831, 'acc_top5': 0.973}"
2,"[1, 3, 0, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 0]","[2, 1, 3, 0, 2]","{'acc_top1': 0.811, 'acc_top5': 0.969}"
3,"[2, 1, 2, 5, 2, 1, 1, 0, 1, 1, 1, 4, 0, 0, 1, 0, 0, 0]","[1, 2, 0, 1, 1]","{'acc_top1': 0.181, 'acc_top5': 0.451}"
5,"[0, 3, 2, 2, 1, 1, 1, 1, 0, 2, 0, 1, 1, 0, 0, 1, 1, 1]","[2, 0, 3, 0, 2]","{'acc_top1': 0.799, 'acc_top5': 0.965}"
6,"[3, 2, 1, 0, 3, 0, 1, 1, 2, 2, 0, 1, 0, 1, 2, 1, 0, 0]","[1, 1, 1, 2, 1]","{'acc_top1': 0.017, 'acc_top5': 0.076}"
7,"[3, 3, 1, 1, 2, 1, 0, 1, 2, 0, 2, 1, 2, 0, 0, 0, 0, 1]","[2, 2, 0, 2, 1]","{'acc_top1': 0.834, 'acc_top5': 0.979}"
8,"[1, 2, 4, 0, 3, 2, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 1]","{'acc_top1': 0.017, 'acc_top5': 0.084}"
9,"[1, 0, 3, 1, 0, 2, 1, 0, 0, 2, 0, 1, 1, 1, 2, 0, 1, 0]","[1, 0, 3, 1, 1]","{'acc_top1': 0.798, 'acc_top5': 0.965}"
10,"[1, 1, 0, 2, 1, 1, 1, 2, 2, 2, 0, 5, 2, 1, 0, 2, 0, 0]","[2, 2, 2, 0, 2]","{'acc_top1': 0.815, 'acc_top5': 0.971}"
11,"[2, 0, 0, 5, 3, 1, 0, 2, 0, 0, 0, 2, 3, 0, 2, 2, 1, 0]","[0, 2, 1, 2, 1]","{'acc_top1': 0.213, 'acc_top5': 0.617}"
12,"[3, 2, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 2, 1, 1]","[0, 0, 1, 2, 1]","{'acc_top1': 0.028, 'acc_top5': 0.085}"
13,"[1, 0, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 0, 1, 1, 2, 0, 0]","[0, 1, 0, 2, 2]","{'acc_top1': 0.844, 'acc_top5': 0.978}"
14,"[1, 2, 1, 0, 0, 1, 0, 1, 1, 1, 1, 2, 0, 1, 2, 1, 0, 0]","[1, 0, 0, 1, 2]","{'acc_top1': 0.852, 'acc_top5': 0.98}"
15,"[0, 0, 2, 4, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0, 0, 2, 1, 1]","[1, 0, 3, 1, 1]","{'acc_top1': 0.774, 'acc_top5': 0.965}"
17,"[3, 2, 1, 5, 0, 0, 1, 2, 1, 1, 2, 0, 3, 0, 0, 2, 0, 1]","[0, 1, 1, 0, 1]","{'acc_top1': 0.017, 'acc_top5': 0.083}"
18,"[3, 2, 3, 5, 2, 2, 0, 1, 0, 2, 2, 4, 0, 1, 1, 2, 0, 0]","[0, 0, 0, 2, 0]","{'acc_top1': 0.817, 'acc_top5': 0.967}"
19,"[3, 3, 3, 0, 1, 0, 0, 1, 2, 0, 2, 5, 3, 1, 2, 1, 0, 0]","[0, 0, 0, 0, 1]","{'acc_top1': 0.834, 'acc_top5': 0.978}"
20,"[1, 2, 4, 1, 3, 0, 0, 0, 0, 2, 1, 3, 1, 0, 1, 2, 0, 1]","[0, 2, 3, 1, 0]","{'acc_top1': 0.753, 'acc_top5': 0.959}"
21,"[1, 2, 1, 2, 3, 1, 0, 2, 0, 2, 2, 1, 3, 0, 0, 1, 1, 1]","[2, 1, 1, 2, 0]","{'acc_top1': 0.017, 'acc_top5': 0.085}"
22,"[0, 0, 4, 5, 3, 0, 1, 1, 2, 2, 2, 4, 3, 1, 0, 0, 1, 0]","[1, 0, 3, 2, 0]","{'acc_top1': 0.571, 'acc_top5': 0.89}"
23,"[2, 0, 0, 5, 0, 2, 1, 1, 2, 0, 0, 4, 0, 1, 2, 2, 1, 1]","[1, 0, 0, 0, 2]","{'acc_top1': 0.844, 'acc_top5': 0.978}"
24,"[2, 0, 4, 1, 1, 0, 0, 1, 0, 0, 0, 1, 2, 0, 1, 2, 1, 0]","[0, 1, 2, 1, 0]","{'acc_top1': 0.057, 'acc_top5': 0.295}"
26,"[2, 3, 0, 0, 1, 0, 0, 2, 2, 1, 0, 4, 3, 1, 2, 0, 1, 0]","[0, 1, 2, 2, 1]","{'acc_top1': 0.181, 'acc_top5': 0.518}"
28,"[3, 0, 4, 5, 0, 2, 0, 1, 2, 1, 0, 0, 2, 0, 0, 2, 1, 0]","[0, 1, 3, 0, 2]","{'acc_top1': 0.612, 'acc_top5': 0.91}"
29,"[3, 1, 4, 3, 3, 0, 0, 0, 2, 0, 2, 1, 3, 1, 2, 2, 0, 0]","[0, 0, 2, 2, 0]","{'acc_top1': 0.017, 'acc_top5': 0.083}"
1000,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 1, 0, 2, 0, 0]","[0, 0, 0, 0, 1]","{'acc_top1': 0.864, 'acc_top5': 0.979}"
32,"[0, 2, 4, 3, 1, 2, 1, 2, 1, 1, 1, 5, 1, 0, 2, 0, 1, 1]","[1, 0, 3, 1, 1]","{'acc_top1': 0.772, 'acc_top5': 0.96}"
33,"[0, 1, 2, 1, 0, 0, 1, 0, 0, 2, 1, 1, 0, 1, 1, 2, 1, 1]","[0, 2, 2, 0, 0]","{'acc_top1': 0.37, 'acc_top5': 0.762}"
34,"[0, 3, 4, 4, 2, 1, 0, 2, 2, 2, 0, 2, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 2, 2]","{'acc_top1': 0.816, 'acc_top5': 0.97}"
