/Parameters/Arch/drop_prob, 0.2, x=2, y=0.24916677176952362
/Parameters/Arch/drop_prob, 0.25, x=0, y=0.25
/Parameters/Arch/drop_prob, 0.25, x=1, y=0.2503751814365387
/Parameters/Arch/drop_prob, 0.25, x=2, y=0.25133198499679565
/Parameters/Arch/drop_prob, 0.3, x=0, y=0.25
/Parameters/Arch/drop_prob, 0.3, x=1, y=0.24987493455410004
/Parameters/Arch/drop_prob, 0.3, x=2, y=0.2504810094833374
/Parameters/Arch/graph_dist_in, 2, x=0, y=0.3333333333333333
/Parameters/Arch/graph_dist_in, 2, x=1, y=0.333111047744751
/Parameters/Arch/graph_dist_in, 2, x=2, y=0.3320472240447998
/Parameters/Arch/graph_dist_in, 3, x=0, y=0.3333333333333333
/Parameters/Arch/graph_dist_in, 3, x=1, y=0.33377793431282043
/Parameters/Arch/graph_dist_in, 3, x=2, y=0.3343665599822998
/Parameters/Arch/graph_dist_in, 4, x=0, y=0.3333333333333333
/Parameters/Arch/graph_dist_in, 4, x=1, y=0.333111047744751
/Parameters/Arch/graph_dist_in, 4, x=2, y=0.3335861563682556
/Parameters/Arch/graph_dist_main, 11, x=0, y=0.3333333333333333
/Parameters/Arch/graph_dist_main, 11, x=1, y=0.33377793431282043
/Parameters/Arch/graph_dist_main, 11, x=2, y=0.33506137132644653
/Parameters/Arch/graph_dist_main, 7, x=0, y=0.3333333333333333
/Parameters/Arch/graph_dist_main, 7, x=1, y=0.333111047744751
/Parameters/Arch/graph_dist_main, 7, x=2, y=0.33251962065696716
/Parameters/Arch/graph_dist_main, 9, x=0, y=0.3333333333333333
/Parameters/Arch/graph_dist_main, 9, x=1, y=0.333111047744751
/Parameters/Arch/graph_dist_main, 9, x=2, y=0.3324190378189087
/Parameters/Arch/init_lay, 128, x=0, y=0.25
/Parameters/Arch/init_lay, 128, x=1, y=0.24987493455410004
/Parameters/Arch/init_lay, 128, x=2, y=0.25059932470321655
/Parameters/Arch/init_lay, 156, x=0, y=0.25
/Parameters/Arch/init_lay, 156, x=1, y=0.24987493455410004
/Parameters/Arch/init_lay, 156, x=2, y=0.24904820322990417
/Parameters/Arch/init_lay, 64, x=0, y=0.25
/Parameters/Arch/init_lay, 64, x=1, y=0.2503751814365387
/Parameters/Arch/init_lay, 64, x=2, y=0.25125399231910706
/Parameters/Arch/init_lay, 96, x=0, y=0.25
/Parameters/Arch/init_lay, 96, x=1, y=0.24987493455410004
/Parameters/Arch/init_lay, 96, x=2, y=0.2490984946489334
/Parameters/Arch/reduct_ratio_in, 1.225, x=0, y=0.16666666666666666
/Parameters/Arch/reduct_ratio_in, 1.225, x=1, y=0.1665000021457672
/Parameters/Arch/reduct_ratio_in, 1.225, x=2, y=0.16568246483802795
/Parameters/Arch/reduct_ratio_in, 1.25, x=0, y=0.16666666666666666
/Parameters/Arch/reduct_ratio_in, 1.25, x=1, y=0.16683334112167358
/Parameters/Arch/reduct_ratio_in, 1.25, x=2, y=0.16774331033229828
/Parameters/Arch/reduct_ratio_in, 1.275, x=0, y=0.16666666666666666
/Parameters/Arch/reduct_ratio_in, 1.275, x=1, y=0.16683334112167358
/Parameters/Arch/reduct_ratio_in, 1.275, x=2, y=0.16763728857040405
