"[tensor(0), tensor(2), tensor(1), tensor(4), tensor(0), tensor(2), tensor(2), tensor(2), tensor(1), tensor(0), tensor(0), tensor(3), tensor(0), tensor(0), tensor(1), tensor(3), tensor(0), tensor(0)]","[tensor(1), tensor(2), tensor(3), tensor(2), tensor(1)]","{'acc_top1': 0.497, 'acc_top5': 0.872}",0
"[tensor(1), tensor(2), tensor(4), tensor(3), tensor(1), tensor(0), tensor(0), tensor(1), tensor(1), tensor(2), tensor(2), tensor(4), tensor(1), tensor(1), tensor(1), tensor(1), tensor(1), tensor(0)]","[tensor(0), tensor(2), tensor(1), tensor(2), tensor(0)]","{'acc_top1': 0.258, 'acc_top5': 0.607}",1
"[tensor(4), tensor(0), tensor(4), tensor(1), tensor(0), tensor(2), tensor(2), tensor(1), tensor(2), tensor(2), tensor(2), tensor(1), tensor(2), tensor(2), tensor(2), tensor(0), tensor(1), tensor(1)]","[tensor(1), tensor(0), tensor(1), tensor(1), tensor(1)]","{'acc_top1': 0.383, 'acc_top5': 0.765}",2
"[tensor(0), tensor(2), tensor(3), tensor(3), tensor(1), tensor(1), tensor(1), tensor(2), tensor(1), tensor(0), tensor(1), tensor(0), tensor(1), tensor(0), tensor(2), tensor(0), tensor(0), tensor(0)]","[tensor(2), tensor(1), tensor(3), tensor(1), tensor(2)]","{'acc_top1': 0.873, 'acc_top5': 0.985}",3
"[tensor(4), tensor(3), tensor(3), tensor(4), tensor(3), tensor(1), tensor(1), tensor(2), tensor(0), tensor(1), tensor(1), tensor(3), tensor(3), tensor(0), tensor(1), tensor(1), tensor(1), tensor(1)]","[tensor(2), tensor(2), tensor(3), tensor(0), tensor(1)]","{'acc_top1': 0.92, 'acc_top5': 0.991}",4
"[tensor(2), tensor(0), tensor(3), tensor(5), tensor(0), tensor(2), tensor(1), tensor(1), tensor(1), tensor(2), tensor(0), tensor(5), tensor(3), tensor(0), tensor(2), tensor(2), tensor(1), tensor(1)]","[tensor(0), tensor(2), tensor(0), tensor(2), tensor(1)]","{'acc_top1': 0.892, 'acc_top5': 0.987}",5
"[tensor(4), tensor(0), tensor(1), tensor(4), tensor(1), tensor(2), tensor(0), tensor(2), tensor(2), tensor(0), tensor(0), tensor(5), tensor(0), tensor(1), tensor(1), tensor(1), tensor(0), tensor(0)]","[tensor(1), tensor(2), tensor(2), tensor(1), tensor(1)]","{'acc_top1': 0.719, 'acc_top5': 0.948}",6
"[tensor(4), tensor(2), tensor(3), tensor(2), tensor(0), tensor(1), tensor(1), tensor(1), tensor(1), tensor(1), tensor(0), tensor(0), tensor(3), tensor(1), tensor(2), tensor(0), tensor(0), tensor(0)]","[tensor(2), tensor(1), tensor(0), tensor(2), tensor(0)]","{'acc_top1': 0.933, 'acc_top5': 0.993}",7
"[tensor(2), tensor(0), tensor(3), tensor(5), tensor(0), tensor(2), tensor(1), tensor(2), tensor(2), tensor(2), tensor(2), tensor(1), tensor(3), tensor(0), tensor(2), tensor(0), tensor(0), tensor(1)]","[tensor(2), tensor(0), tensor(1), tensor(0), tensor(0)]","{'acc_top1': 0.688, 'acc_top5': 0.955}",8
"[tensor(0), tensor(1), tensor(1), tensor(5), tensor(3), tensor(1), tensor(1), tensor(2), tensor(2), tensor(1), tensor(2), tensor(2), tensor(1), tensor(3), tensor(2), tensor(2), tensor(0), tensor(0)]","[tensor(2), tensor(0), tensor(1), tensor(2), tensor(0)]","{'acc_top1': 0.027, 'acc_top5': 0.099}",9
"[tensor(0), tensor(2), tensor(4), tensor(2), tensor(0), tensor(1), tensor(1), tensor(2), tensor(0), tensor(0), tensor(0), tensor(3), tensor(3), tensor(3), tensor(0), tensor(3), tensor(1), tensor(1)]","[tensor(1), tensor(2), tensor(2), tensor(1), tensor(2)]","{'acc_top1': 0.347, 'acc_top5': 0.732}",10
"[tensor(1), tensor(3), tensor(1), tensor(2), tensor(0), tensor(0), tensor(2), tensor(1), tensor(2), tensor(2), tensor(0), tensor(2), tensor(1), tensor(3), tensor(2), tensor(2), tensor(1), tensor(0)]","[tensor(0), tensor(1), tensor(2), tensor(2), tensor(2)]","{'acc_top1': 0.311, 'acc_top5': 0.663}",11
"[tensor(0), tensor(1), tensor(2), tensor(3), tensor(3), tensor(2), tensor(2), tensor(0), tensor(0), tensor(1), tensor(2), tensor(4), tensor(0), tensor(0), tensor(0), tensor(1), tensor(1), tensor(0)]","[tensor(0), tensor(2), tensor(0), tensor(1), tensor(2)]","{'acc_top1': 0.02, 'acc_top5': 0.093}",13
"[tensor(0), tensor(0), tensor(0), tensor(0), tensor(2), tensor(2), tensor(2), tensor(1), tensor(0), tensor(2), tensor(1), tensor(4), tensor(1), tensor(3), tensor(1), tensor(2), tensor(1), tensor(0)]","[tensor(1), tensor(1), tensor(0), tensor(1), tensor(1)]","{'acc_top1': 0.899, 'acc_top5': 0.99}",14
"[tensor(1), tensor(0), tensor(0), tensor(5), tensor(3), tensor(0), tensor(2), tensor(2), tensor(0), tensor(2), tensor(1), tensor(2), tensor(1), tensor(3), tensor(0), tensor(3), tensor(0), tensor(0)]","[tensor(1), tensor(2), tensor(0), tensor(1), tensor(2)]","{'acc_top1': 0.872, 'acc_top5': 0.986}",15
"[tensor(4), tensor(0), tensor(3), tensor(2), tensor(2), tensor(1), tensor(0), tensor(0), tensor(0), tensor(1), tensor(1), tensor(4), tensor(1), tensor(3), tensor(1), tensor(1), tensor(1), tensor(1)]","[tensor(0), tensor(0), tensor(3), tensor(2), tensor(0)]","{'acc_top1': 0.354, 'acc_top5': 0.785}",18
"[tensor(0), tensor(3), tensor(2), tensor(2), tensor(3), tensor(0), tensor(2), tensor(0), tensor(0), tensor(1), tensor(1), tensor(0), tensor(2), tensor(0), tensor(0), tensor(1), tensor(1), tensor(1)]","[tensor(1), tensor(1), tensor(3), tensor(1), tensor(2)]","{'acc_top1': 0.716, 'acc_top5': 0.946}",20
"[tensor(3), tensor(1), tensor(2), tensor(2), tensor(2), tensor(2), tensor(1), tensor(0), tensor(2), tensor(2), tensor(1), tensor(5), tensor(3), tensor(0), tensor(0), tensor(0), tensor(1), tensor(1)]","[tensor(2), tensor(0), tensor(2), tensor(0), tensor(0)]","{'acc_top1': 0.885, 'acc_top5': 0.987}",21
"[tensor(3), tensor(2), tensor(1), tensor(5), tensor(2), tensor(0), tensor(0), tensor(0), tensor(1), tensor(0), tensor(1), tensor(1), tensor(0), tensor(0), tensor(0), tensor(2), tensor(1), tensor(1)]","[tensor(1), tensor(0), tensor(3), tensor(0), tensor(2)]","{'acc_top1': 0.897, 'acc_top5': 0.987}",22
