0,"[0, 2, 1, 4, 0, 2, 2, 2, 1, 0, 0, 3, 0, 0, 1, 3, 0, 0]","[1, 2, 3, 2, 1]","{'acc_top1': 0.842, 'acc_top5': 0.978}"
1,"[0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 2, 5, 0, 0, 0, 0, 1, 1]","[1, 2, 0, 0, 0]","{'acc_top1': 0.9, 'acc_top5': 0.989}"
2,"[0, 0, 1, 5, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 3, 1, 0]","[0, 2, 3, 2, 2]","{'acc_top1': 0.885, 'acc_top5': 0.988}"
4,"[1, 2, 3, 4, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 1, 1, 1, 1]","[1, 1, 3, 1, 1]","{'acc_top1': 0.703, 'acc_top5': 0.952}"
7,"[0, 3, 1, 1, 1, 1, 0, 0, 1, 0, 2, 1, 1, 2, 1, 1, 0, 0]","[1, 0, 1, 1, 0]","{'acc_top1': 0.124, 'acc_top5': 0.326}"
8,"[1, 3, 3, 5, 0, 1, 1, 1, 2, 2, 0, 3, 1, 2, 1, 1, 0, 1]","[0, 2, 3, 0, 0]","{'acc_top1': 0.865, 'acc_top5': 0.986}"
9,"[0, 2, 2, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]","[2, 1, 2, 1, 2]","{'acc_top1': 0.674, 'acc_top5': 0.947}"
1000,"[0, 2, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]","[0, 2, 3, 0, 0]","{'acc_top1': 0.953, 'acc_top5': 0.993}"
10,"[2, 1, 4, 1, 3, 2, 2, 1, 1, 2, 2, 3, 0, 2, 2, 1, 0, 1]","[0, 0, 1, 1, 2]","{'acc_top1': 0.033, 'acc_top5': 0.09}"
11,"[0, 0, 2, 3, 1, 1, 1, 1, 2, 2, 1, 4, 1, 1, 2, 1, 0, 0]","[1, 2, 3, 1, 2]","{'acc_top1': 0.897, 'acc_top5': 0.987}"
12,"[3, 3, 0, 1, 3, 1, 2, 2, 0, 0, 0, 1, 3, 0, 2, 0, 1, 1]","[0, 2, 3, 0, 2]","{'acc_top1': 0.899, 'acc_top5': 0.988}"
13,"[0, 0, 0, 3, 3, 0, 0, 1, 0, 1, 2, 3, 2, 3, 1, 0, 1, 1]","[0, 1, 1, 2, 2]","{'acc_top1': 0.016, 'acc_top5': 0.096}"
14,"[0, 2, 1, 3, 1, 0, 2, 2, 2, 2, 0, 4, 3, 0, 0, 1, 0, 0]","[2, 1, 2, 0, 0]","{'acc_top1': 0.631, 'acc_top5': 0.929}"
16,"[3, 2, 1, 5, 1, 0, 0, 0, 2, 2, 1, 5, 2, 2, 1, 1, 1, 1]","[1, 0, 3, 0, 0]","{'acc_top1': 0.897, 'acc_top5': 0.987}"
17,"[3, 2, 2, 2, 3, 0, 1, 1, 0, 2, 0, 5, 1, 3, 2, 0, 0, 0]","[0, 2, 0, 1, 1]","{'acc_top1': 0.841, 'acc_top5': 0.981}"
18,"[2, 0, 0, 2, 3, 1, 0, 1, 0, 1, 0, 2, 0, 2, 0, 3, 0, 1]","[2, 2, 1, 1, 1]","{'acc_top1': 0.865, 'acc_top5': 0.985}"
19,"[2, 0, 1, 2, 1, 0, 2, 2, 1, 0, 1, 0, 3, 0, 1, 1, 0, 0]","[0, 2, 2, 0, 0]","{'acc_top1': 0.792, 'acc_top5': 0.97}"
1001,"[0, 2, 1, 5, 0, 1, 1, 1, 0, 0, 0, 3, 0, 0, 1, 3, 0, 1]","[1, 2, 3, 0, 0]","{'acc_top1': 0.945, 'acc_top5': 0.992}"
20,"[2, 3, 3, 0, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 0]","[2, 2, 3, 0, 1]","{'acc_top1': 0.922, 'acc_top5': 0.992}"
21,"[1, 0, 1, 4, 0, 1, 2, 0, 0, 2, 2, 1, 2, 3, 2, 3, 1, 0]","[0, 0, 1, 2, 0]","{'acc_top1': 0.017, 'acc_top5': 0.083}"
22,"[1, 1, 1, 1, 0, 2, 0, 1, 2, 1, 0, 1, 3, 3, 1, 2, 1, 1]","[1, 1, 0, 2, 1]","{'acc_top1': 0.806, 'acc_top5': 0.977}"
23,"[2, 1, 2, 4, 1, 1, 1, 1, 0, 1, 1, 2, 0, 0, 2, 2, 1, 1]","[1, 2, 3, 2, 0]","{'acc_top1': 0.716, 'acc_top5': 0.953}"
24,"[3, 1, 4, 1, 1, 2, 0, 0, 1, 2, 0, 5, 1, 2, 2, 3, 1, 0]","[1, 2, 3, 0, 0]","{'acc_top1': 0.584, 'acc_top5': 0.909}"
25,"[1, 0, 2, 0, 0, 2, 0, 2, 0, 0, 0, 1, 1, 2, 2, 3, 1, 1]","[1, 0, 2, 2, 2]","{'acc_top1': 0.253, 'acc_top5': 0.577}"
26,"[1, 0, 4, 3, 2, 1, 2, 2, 2, 0, 0, 0, 1, 0, 1, 2, 0, 1]","[2, 1, 1, 0, 0]","{'acc_top1': 0.142, 'acc_top5': 0.456}"
27,"[1, 3, 2, 2, 1, 0, 0, 0, 0, 2, 2, 1, 1, 3, 2, 3, 0, 1]","[0, 2, 2, 1, 0]","{'acc_top1': 0.766, 'acc_top5': 0.967}"
28,"[3, 0, 0, 4, 2, 1, 2, 1, 1, 2, 0, 4, 2, 1, 1, 2, 1, 0]","[0, 1, 3, 2, 0]","{'acc_top1': 0.019, 'acc_top5': 0.145}"
29,"[3, 0, 4, 3, 1, 2, 0, 1, 1, 1, 0, 2, 0, 2, 0, 2, 0, 0]","[1, 1, 0, 2, 0]","{'acc_top1': 0.925, 'acc_top5': 0.992}"
