/Parameters/Arch/act, hardswish, x=0, y=0.25
/Parameters/Arch/act, hardswish, x=1, y=0.24975000321865082
/Parameters/Arch/act, hardswish, x=2, y=0.2504099905490875
/Parameters/Arch/act, relu, x=0, y=0.25
/Parameters/Arch/act, relu, x=1, y=0.2502500116825104
/Parameters/Arch/act, relu, x=2, y=0.24976205825805664
/Parameters/Arch/act, relu6, x=0, y=0.25
/Parameters/Arch/act, relu6, x=1, y=0.24975000321865082
/Parameters/Arch/act, relu6, x=2, y=0.25007838010787964
/Parameters/Arch/act, swish, x=0, y=0.25
/Parameters/Arch/act, swish, x=1, y=0.2502500116825104
/Parameters/Arch/act, swish, x=2, y=0.24974960088729858
/Parameters/Arch/adaptive_main, False, x=0, y=0.5
/Parameters/Arch/adaptive_main, False, x=1, y=0.49950000643730164
/Parameters/Arch/adaptive_main, False, x=2, y=0.49851661920547485
/Parameters/Arch/adaptive_main, True, x=0, y=0.5
/Parameters/Arch/adaptive_main, True, x=1, y=0.5005000233650208
/Parameters/Arch/adaptive_main, True, x=2, y=0.5014833211898804
/Parameters/Arch/att_lay, ca, x=0, y=0.2
/Parameters/Arch/att_lay, ca, x=1, y=0.2001599669456482
/Parameters/Arch/att_lay, ca, x=2, y=0.20107929408550262
/Parameters/Arch/att_lay, fa, x=0, y=0.2
/Parameters/Arch/att_lay, fa, x=1, y=0.19976003468036652
/Parameters/Arch/att_lay, fa, x=2, y=0.1990175098180771
/Parameters/Arch/att_lay, ja, x=0, y=0.2
/Parameters/Arch/att_lay, ja, x=1, y=0.19976003468036652
/Parameters/Arch/att_lay, ja, x=2, y=0.20055876672267914
/Parameters/Arch/att_lay, pa, x=0, y=0.2
/Parameters/Arch/att_lay, pa, x=1, y=0.2001599669456482
/Parameters/Arch/att_lay, pa, x=2, y=0.1995837539434433
/Parameters/Arch/att_lay, stja, x=0, y=0.2
/Parameters/Arch/att_lay, stja, x=1, y=0.2001599669456482
/Parameters/Arch/att_lay, stja, x=2, y=0.19976066052913666
/Parameters/Arch/blocks_in, 1, x=0, y=0.3333333333333333
/Parameters/Arch/blocks_in, 1, x=1, y=0.33377793431282043
/Parameters/Arch/blocks_in, 1, x=2, y=0.3335358798503876
/Parameters/Arch/blocks_in, 2, x=0, y=0.3333333333333333
/Parameters/Arch/blocks_in, 2, x=1, y=0.333111047744751
/Parameters/Arch/blocks_in, 2, x=2, y=0.33238905668258667
/Parameters/Arch/blocks_in, 3, x=0, y=0.3333333333333333
/Parameters/Arch/blocks_in, 3, x=1, y=0.333111047744751
/Parameters/Arch/blocks_in, 3, x=2, y=0.33407506346702576
/Parameters/Arch/blocks_main, 3, x=3, y=0.2503751814365387
/Parameters/Arch/blocks_main, 4, x=0, y=0.25
/Parameters/Arch/blocks_main, 4, x=1, y=0.24987493455410004
/Parameters/Arch/blocks_main, 4, x=2, y=0.24945630133152008
/Parameters/Arch/blocks_main, 5, x=0, y=0.25
/Parameters/Arch/blocks_main, 5, x=1, y=0.24987493455410004
/Parameters/Arch/blocks_main, 5, x=2, y=0.2494581788778305
/Parameters/Arch/blocks_main, 6, x=0, y=0.25
/Parameters/Arch/blocks_main, 6, x=1, y=0.24987493455410004
/Parameters/Arch/blocks_main, 6, x=2, y=0.24946743249893188
/Parameters/Arch/conv_lay, Basic, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, Basic, x=1, y=0.16677775979042053
/Parameters/Arch/conv_lay, Basic, x=2, y=0.1676291674375534
/Parameters/Arch/conv_lay, Bottleneck, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, Bottleneck, x=1, y=0.16677775979042053
/Parameters/Arch/conv_lay, Bottleneck, x=2, y=0.1674961894750595
/Parameters/Arch/conv_lay, SG, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, SG, x=1, y=0.16644452512264252
/Parameters/Arch/conv_lay, SG, x=2, y=0.1655634641647339
/Parameters/Arch/conv_lay, Sep, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, Sep, x=1, y=0.16677775979042053
/Parameters/Arch/conv_lay, Sep, x=2, y=0.16758286952972412
/Parameters/Arch/conv_lay, Shuffle, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, Shuffle, x=1, y=0.16677775979042053
/Parameters/Arch/conv_lay, Shuffle, x=2, y=0.16614988446235657
/Parameters/Arch/conv_lay, V3, x=0, y=0.16666666666666666
/Parameters/Arch/conv_lay, V3, x=1, y=0.16644452512264252
/Parameters/Arch/conv_lay, V3, x=2, y=0.16557839512825012
/Parameters/Arch/depth_in, 1, x=0, y=0.5
