/Parameters/Arch/act, hardswish, x=0, y=0.25
/Parameters/Arch/act, hardswish, x=1, y=0.2503751814365387
/Parameters/Arch/act, hardswish, x=2, y=0.2512820065021515
/Parameters/Arch/act, hardswish, x=3, y=0.25195804238319397
/Parameters/Arch/act, relu, x=0, y=0.25
/Parameters/Arch/act, relu, x=1, y=0.24987493455410004
/Parameters/Arch/act, relu, x=2, y=0.2505781650543213
/Parameters/Arch/act, relu, x=3, y=0.25129416584968567
/Parameters/Arch/act, relu6, x=0, y=0.25
/Parameters/Arch/act, relu6, x=1, y=0.24987493455410004
/Parameters/Arch/act, relu6, x=2, y=0.24906350672245026
/Parameters/Arch/act, relu6, x=3, y=0.24813005328178406
/Parameters/Arch/act, swish, x=0, y=0.25
/Parameters/Arch/act, swish, x=1, y=0.24987493455410004
/Parameters/Arch/act, swish, x=2, y=0.24907630681991577
/Parameters/Arch/act, swish, x=3, y=0.24861770868301392
/Parameters/Arch/adaptive_main, False, x=0, y=0.5
/Parameters/Arch/adaptive_main, False, x=1, y=0.5005000233650208
/Parameters/Arch/adaptive_main, False, x=2, y=0.5006530284881592
/Parameters/Arch/adaptive_main, False, x=3, y=0.5012505650520325
/Parameters/Arch/adaptive_main, True, x=0, y=0.5
/Parameters/Arch/adaptive_main, True, x=1, y=0.49950000643730164
/Parameters/Arch/adaptive_main, True, x=2, y=0.49934694170951843
/Parameters/Arch/adaptive_main, True, x=3, y=0.49874943494796753
/Parameters/Arch/att_lay, ca, x=0, y=0.2
/Parameters/Arch/att_lay, ca, x=1, y=0.20024006068706512
/Parameters/Arch/att_lay, ca, x=2, y=0.20156779885292053
/Parameters/Arch/att_lay, ca, x=3, y=0.20264844596385956
/Parameters/Arch/att_lay, fa, x=0, y=0.2
/Parameters/Arch/att_lay, fa, x=1, y=0.19983996450901031
/Parameters/Arch/att_lay, fa, x=2, y=0.199384406208992
/Parameters/Arch/att_lay, fa, x=3, y=0.20010752975940704
/Parameters/Arch/att_lay, ja, x=0, y=0.2
/Parameters/Arch/att_lay, ja, x=1, y=0.20024006068706512
/Parameters/Arch/att_lay, ja, x=2, y=0.200084388256073
