/Parameters/Arch/reduct_ratio_in, 1.3, x=0, y=0.16666666666666666
/Parameters/Arch/reduct_ratio_in, 1.3, x=1, y=0.16688896715641022
/Parameters/Arch/reduct_ratio_in, 1.325, x=0, y=0.16666666666666666
/Parameters/Arch/reduct_ratio_in, 1.325, x=1, y=0.1665555238723755
/Parameters/Arch/reduct_ratio_in, 1.35, x=0, y=0.16666666666666666
/Parameters/Arch/reduct_ratio_in, 1.35, x=1, y=0.1665555238723755
/Parameters/Arch/residual_main, False, x=0, y=0.5
/Parameters/Arch/residual_main, False, x=1, y=0.49950000643730164
/Parameters/Arch/residual_main, True, x=0, y=0.5
/Parameters/Arch/residual_main, True, x=1, y=0.5005000233650208
/Parameters/Arch/scale_in, 0.4, x=0, y=0.3333333333333333
/Parameters/Arch/scale_in, 0.4, x=1, y=0.333111047744751
/Parameters/Arch/scale_in, 0.6, x=0, y=0.3333333333333333
/Parameters/Arch/scale_in, 0.6, x=1, y=0.33377793431282043
/Parameters/Arch/scale_in, 0.8, x=0, y=0.3333333333333333
/Parameters/Arch/scale_in, 0.8, x=1, y=0.333111047744751
/Parameters/Arch/shrinkage_main, 1, x=0, y=0.25
/Parameters/Arch/shrinkage_main, 1, x=1, y=0.2502500116825104
/Parameters/Arch/shrinkage_main, 2, x=0, y=0.25
/Parameters/Arch/shrinkage_main, 2, x=1, y=0.24975000321865082
/Parameters/Arch/shrinkage_main, 4, x=0, y=0.25
/Parameters/Arch/shrinkage_main, 4, x=1, y=0.24975000321865082
/Parameters/Arch/shrinkage_main, 6, x=0, y=0.25
/Parameters/Arch/shrinkage_main, 6, x=1, y=0.2502500116825104
/Parameters/Arch/stride_in, 1, x=0, y=0.3333333333333333
/Parameters/Arch/stride_in, 1, x=1, y=0.333111047744751
/Parameters/Arch/stride_in, 2, x=0, y=0.3333333333333333
/Parameters/Arch/stride_in, 2, x=1, y=0.333111047744751
/Parameters/Arch/stride_in, 3, x=0, y=0.3333333333333333
/Parameters/Arch/stride_in, 3, x=1, y=0.33377793431282043
/Parameters/Arch/temp_win_in, 3, x=2, y=0.333111047744751
/Parameters/Arch/temp_win_in, 5, x=0, y=0.3333333333333333
/Parameters/Arch/temp_win_in, 5, x=1, y=0.333111047744751
/Parameters/Arch/temp_win_in, 7, x=0, y=0.3333333333333333
/Parameters/Arch/temp_win_in, 7, x=1, y=0.33377793431282043
/Parameters/Hyper/batch_size, 16, x=0, y=0.3333333333333333
/Parameters/Hyper/batch_size, 16, x=1, y=0.33377793431282043
/Parameters/Hyper/batch_size, 24, x=0, y=0.3333333333333333
/Parameters/Hyper/batch_size, 24, x=1, y=0.333111047744751
/Parameters/Hyper/batch_size, 8, x=0, y=0.3333333333333333
/Parameters/Hyper/batch_size, 8, x=1, y=0.333111047744751
/Parameters/Hyper/lr, 0.01, x=0, y=0.3333333333333333
/Parameters/Hyper/lr, 0.01, x=1, y=0.333111047744751
/Parameters/Hyper/lr, 0.05, x=0, y=0.3333333333333333
/Parameters/Hyper/lr, 0.05, x=1, y=0.33377793431282043
/Parameters/Hyper/lr, 0.1, x=0, y=0.3333333333333333
/Parameters/Hyper/lr, 0.1, x=1, y=0.333111047744751
/Parameters/Hyper/momentum, 0.5, x=0, y=0.3333333333333333
/Parameters/Hyper/momentum, 0.5, x=1, y=0.333111047744751
/Parameters/Hyper/momentum, 0.9, x=0, y=0.3333333333333333
/Parameters/Hyper/momentum, 0.9, x=1, y=0.333111047744751
/Parameters/Hyper/momentum, 0.99, x=0, y=0.3333333333333333
/Parameters/Hyper/momentum, 0.99, x=1, y=0.33377793431282043
/Parameters/Hyper/optimizers, Adam, x=0, y=0.3333333333333333
/Parameters/Hyper/optimizers, Adam, x=1, y=0.333111047744751
/Parameters/Hyper/optimizers, AdamW, x=0, y=0.3333333333333333
/Parameters/Hyper/optimizers, AdamW, x=1, y=0.33377793431282043
/Parameters/Hyper/optimizers, SGD, x=0, y=0.3333333333333333
/Parameters/Hyper/optimizers, SGD, x=1, y=0.333111047744751
/Parameters/Hyper/weight_decay, 0.0, x=0, y=0.25
/Parameters/Hyper/weight_decay, 0.0, x=1, y=0.24975000321865082
/Parameters/Hyper/weight_decay, 0.0001, x=0, y=0.25
/Parameters/Hyper/weight_decay, 0.0001, x=1, y=0.2502500116825104
/Parameters/Hyper/weight_decay, 0.001, x=0, y=0.25
/Parameters/Hyper/weight_decay, 0.001, x=1, y=0.24975000321865082
/Parameters/Hyper/weight_decay, 0.01, x=0, y=0.25
/Parameters/Hyper/weight_decay, 0.01, x=1, y=0.2502500116825104
