0,"[0, 2, 1, 4, 0, 2, 2, 2, 1, 0, 0, 3, 0, 0, 1, 3, 0, 0]","[1, 2, 3, 2, 1]","{'acc_top1': 0.454, 'acc_top5': 0.823}"
1,"[3, 1, 4, 2, 2, 0, 1, 1, 0, 0, 2, 3, 0, 2, 2, 2, 0, 1]","[2, 2, 2, 2, 1]","{'acc_top1': 0.844, 'acc_top5': 0.975}"
2,"[1, 3, 0, 2, 0, 2, 0, 1, 1, 1, 1, 1, 2, 3, 0, 2, 1, 0]","[2, 1, 3, 0, 2]","{'acc_top1': 0.801, 'acc_top5': 0.97}"
3,"[2, 1, 2, 5, 2, 1, 2, 0, 1, 1, 1, 4, 0, 1, 1, 0, 0, 0]","[1, 2, 0, 1, 1]","{'acc_top1': 0.734, 'acc_top5': 0.954}"
4,"[1, 3, 1, 0, 3, 0, 1, 2, 2, 1, 2, 2, 0, 1, 2, 2, 0, 1]","[1, 1, 1, 2, 0]","{'acc_top1': 0.017, 'acc_top5': 0.083}"
5,"[3, 1, 4, 2, 0, 0, 0, 0, 2, 1, 1, 2, 3, 0, 1, 3, 1, 1]","[1, 0, 3, 0, 0]","{'acc_top1': 0.464, 'acc_top5': 0.853}"
6,"[2, 0, 3, 0, 3, 2, 2, 1, 1, 2, 1, 0, 1, 3, 0, 2, 0, 1]","[2, 1, 0, 2, 1]","{'acc_top1': 0.834, 'acc_top5': 0.977}"
7,"[0, 1, 0, 1, 1, 0, 2, 2, 0, 2, 1, 3, 3, 0, 2, 0, 1, 0]","[1, 0, 0, 0, 2]","{'acc_top1': 0.324, 'acc_top5': 0.742}"
8,"[1, 0, 3, 5, 1, 1, 1, 2, 2, 1, 2, 5, 3, 0, 2, 1, 0, 0]","[1, 1, 2, 1, 0]","{'acc_top1': 0.19, 'acc_top5': 0.52}"
9,"[3, 2, 4, 4, 1, 1, 2, 2, 0, 0, 1, 0, 1, 3, 0, 3, 1, 0]","[2, 2, 3, 2, 2]","{'acc_top1': 0.735, 'acc_top5': 0.954}"
1000,"[2, 1, 0, 2, 0, 2, 2, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0]","[1, 1, 0, 2, 1]","{'acc_top1': 0.801, 'acc_top5': 0.968}"
10,"[1, 0, 3, 3, 3, 2, 0, 0, 2, 2, 0, 3, 0, 1, 1, 1, 1, 0]","[0, 0, 0, 1, 0]","{'acc_top1': 0.842, 'acc_top5': 0.975}"
11,"[3, 0, 4, 1, 3, 0, 1, 0, 0, 2, 2, 2, 3, 2, 0, 2, 0, 0]","[1, 1, 2, 0, 0]","{'acc_top1': 0.157, 'acc_top5': 0.494}"
12,"[3, 0, 2, 0, 3, 0, 0, 1, 1, 0, 0, 1, 2, 1, 1, 0, 0, 1]","[1, 0, 2, 0, 0]","{'acc_top1': 0.748, 'acc_top5': 0.955}"
13,"[0, 0, 0, 2, 1, 1, 1, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 1]","[2, 0, 2, 1, 2]","{'acc_top1': 0.755, 'acc_top5': 0.96}"
15,"[1, 3, 2, 2, 0, 1, 0, 1, 2, 1, 0, 3, 0, 1, 0, 3, 0, 0]","[0, 1, 0, 0, 1]","{'acc_top1': 0.827, 'acc_top5': 0.976}"
16,"[0, 1, 0, 2, 2, 1, 1, 0, 1, 0, 2, 0, 0, 1, 2, 3, 0, 0]","[2, 0, 2, 0, 0]","{'acc_top1': 0.781, 'acc_top5': 0.96}"
17,"[0, 1, 2, 3, 1, 2, 2, 0, 1, 2, 0, 5, 2, 1, 2, 0, 0, 0]","[0, 1, 2, 2, 0]","{'acc_top1': 0.029, 'acc_top5': 0.145}"
18,"[3, 0, 0, 1, 3, 1, 1, 0, 2, 0, 1, 5, 2, 3, 2, 0, 1, 0]","[0, 0, 2, 2, 0]","{'acc_top1': 0.017, 'acc_top5': 0.083}"
19,"[2, 1, 1, 3, 0, 2, 1, 2, 0, 0, 1, 3, 1, 2, 1, 0, 0, 1]","[2, 0, 2, 1, 0]","{'acc_top1': 0.723, 'acc_top5': 0.949}"
1001,"[3, 1, 0, 2, 0, 2, 0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0]","[2, 1, 0, 0, 1]","{'acc_top1': 0.859, 'acc_top5': 0.979}"
20,"[1, 0, 3, 3, 0, 0, 0, 1, 2, 0, 1, 2, 1, 2, 2, 2, 0, 1]","[0, 1, 3, 2, 0]","{'acc_top1': 0.05, 'acc_top5': 0.202}"
22,"[0, 3, 0, 3, 3, 1, 0, 2, 0, 1, 2, 0, 3, 0, 0, 0, 1, 1]","[0, 1, 1, 1, 0]","{'acc_top1': 0.017, 'acc_top5': 0.084}"
23,"[1, 3, 4, 1, 1, 2, 1, 2, 0, 1, 0, 0, 2, 2, 2, 2, 0, 0]","[0, 0, 0, 1, 2]","{'acc_top1': 0.426, 'acc_top5': 0.801}"
24,"[2, 1, 1, 2, 3, 0, 2, 2, 2, 0, 2, 0, 1, 1, 2, 0, 0, 1]","[0, 2, 1, 1, 1]","{'acc_top1': 0.454, 'acc_top5': 0.837}"
26,"[2, 1, 3, 2, 3, 1, 2, 0, 1, 0, 0, 3, 1, 3, 1, 1, 0, 1]","[1, 1, 0, 0, 0]","{'acc_top1': 0.757, 'acc_top5': 0.955}"
28,"[2, 2, 2, 2, 0, 1, 1, 0, 2, 2, 0, 2, 0, 3, 0, 2, 0, 1]","[0, 1, 0, 2, 0]","{'acc_top1': 0.816, 'acc_top5': 0.969}"
29,"[2, 1, 0, 2, 0, 2, 1, 1, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0]","[2, 2, 3, 0, 0]","{'acc_top1': 0.81, 'acc_top5': 0.972}"
